Year-Week,Avg_TMAX,Total_PRCP
2017-48,55.0,0.0
2017-49,39.57142857142857,0.2
2017-50,37.142857142857146,0.08
2017-51,38.142857142857146,0.19
2017-52,13.0,0.12000000000000001
2018-01,17.25,0.89
2018-02,35.42857142857143,0.45
2018-03,33.0,0.15000000000000002
2018-04,43.857142857142854,0.91
2018-05,33.714285714285715,0.11
2018-06,20.857142857142858,1.51
2018-07,38.142857142857146,0.13
2018-08,49.142857142857146,2.89
2018-09,51.0,0.81
2018-10,38.714285714285715,0.18
2018-11,45.714285714285715,0.22
2018-12,42.42857142857143,0.0
2018-13,50.0,0.53
2018-14,39.57142857142857,0.29000000000000004
2018-15,49.57142857142857,1.98
2018-16,49.714285714285715,0.43
2018-17,59.142857142857146,0.02
2018-18,78.0,1.8900000000000001
2018-19,68.42857142857143,1.53
2018-20,70.14285714285714,1.9300000000000002
2018-21,82.0,1.96
2018-22,83.0,1.21
2018-23,76.85714285714286,2.7600000000000002
2018-24,83.71428571428571,0.75
2018-25,77.85714285714286,3.0199999999999996
2018-26,87.71428571428571,1.03
2018-27,86.28571428571429,0.030000000000000002
2018-28,88.57142857142857,0.26
2018-29,82.0,0.51
2018-30,83.57142857142857,0.1
2018-31,87.42857142857143,0.0
2018-32,85.14285714285714,3.13
2018-33,85.42857142857143,0.62
2018-34,81.0,1.05
2018-35,85.0,1.99
2018-36,78.0,2.86
2018-37,81.57142857142857,0.0
2018-38,79.0,0.21
2018-39,68.28571428571429,0.4
2018-40,71.71428571428571,3.49
2018-41,63.57142857142857,0.5800000000000001
2018-42,53.142857142857146,0.13
2018-43,54.42857142857143,0.12
2018-44,55.0,1.07
2018-45,41.714285714285715,0.56
2018-46,35.42857142857143,0.22
2018-47,40.42857142857143,1.42
2018-48,35.857142857142854,1.67
2018-49,32.142857142857146,0.01
2018-50,42.0,0.28
2018-51,41.285714285714285,0.15000000000000002
2018-52,42.42857142857143,0.79
2019-01,39.625,0.19
2019-02,34.142857142857146,0.57
2019-03,28.714285714285715,0.3
2019-04,19.142857142857142,0.49
2019-05,20.857142857142858,0.6
2019-06,32.714285714285715,1.1199999999999999
2019-07,32.857142857142854,0.75
2019-08,40.42857142857143,0.92
2019-09,27.285714285714285,0.0
2019-10,30.142857142857142,0.56
2019-11,47.714285714285715,0.9400000000000001
2019-12,47.142857142857146,0.19
2019-13,50.857142857142854,0.4
2019-14,57.0,0.64
2019-15,53.714285714285715,1.17
2019-16,65.57142857142857,0.31
2019-17,62.857142857142854,1.02
2019-18,56.285714285714285,4.3
2019-19,59.714285714285715,1.75
2019-20,72.28571428571429,0.98
2019-21,71.0,1.26
2019-22,75.28571428571429,2.84
2019-23,76.57142857142857,0.58
2019-24,72.14285714285714,0.9400000000000001
2019-25,74.28571428571429,0.8400000000000001
2019-26,87.0,0.6900000000000001
2019-27,87.0,0.8899999999999999
2019-28,88.42857142857143,0.01
2019-29,88.57142857142857,2.72
2019-30,83.42857142857143,0.0
2019-31,82.42857142857143,0.32
2019-32,85.85714285714286,0.02
2019-33,82.14285714285714,1.73
2019-34,78.14285714285714,0.37
2019-35,76.57142857142857,1.8499999999999999
2019-36,74.42857142857143,0.25
2019-37,81.14285714285714,2.33
2019-38,79.42857142857143,1.65
2019-39,72.14285714285714,3.04
2019-40,70.57142857142857,2.6
2019-41,64.57142857142857,0.7799999999999999
2019-42,58.857142857142854,0.0
2019-43,54.285714285714285,2.3000000000000003
2019-44,43.857142857142854,1.09
2019-45,42.57142857142857,0.05
2019-46,32.42857142857143,0.3
2019-47,44.285714285714285,0.52
2019-48,45.142857142857146,1.1
2019-49,41.285714285714285,0.0
2019-50,35.142857142857146,0.05
2019-51,37.285714285714285,0.01
2019-52,52.42857142857143,1.21
2020-01,41.2,0.03
2020-02,39.857142857142854,1.23
2020-03,31.428571428571427,0.77
2020-04,33.142857142857146,0.6900000000000001
2020-05,37.714285714285715,0.09
2020-06,37.42857142857143,0.26
2020-07,33.42857142857143,0.21
2020-08,40.0,0.13
2020-09,39.42857142857143,0.16
2020-10,51.57142857142857,0.0
2020-11,49.0,0.85
2020-12,47.857142857142854,0.77
2020-13,54.857142857142854,1.8599999999999999
2020-14,54.57142857142857,0.06
2020-15,63.857142857142854,0.5700000000000001
2020-16,49.57142857142857,0.41
2020-17,56.714285714285715,0.29000000000000004
2020-18,68.57142857142857,2.48
2020-19,55.142857142857146,0.29000000000000004
2020-20,67.28571428571429,7.96
2020-21,71.85714285714286,0.77
2020-22,80.57142857142857,0.49
2020-23,84.14285714285714,0.21
2020-24,79.42857142857143,0.56
2020-25,86.28571428571429,0.19
2020-26,83.85714285714286,3.14
2020-27,91.14285714285714,0.3
2020-28,89.57142857142857,1.15
2020-29,86.85714285714286,0.64
2020-30,88.0,0.09
2020-31,85.42857142857143,0.72
2020-32,82.28571428571429,0.06
2020-33,88.0,0.6599999999999999
2020-34,86.14285714285714,0.0
2020-35,90.42857142857143,0.03
2020-36,83.0,0.84
2020-37,70.71428571428571,1.94
2020-38,72.85714285714286,0.0
2020-39,78.28571428571429,0.19
2020-40,59.57142857142857,0.53
2020-41,73.14285714285714,0.0
2020-42,65.85714285714286,0.3
2020-43,58.285714285714285,2.94
2020-44,47.857142857142854,0.09
2020-45,69.57142857142857,0.0
2020-46,57.42857142857143,0.67
2020-47,51.714285714285715,0.0
2020-48,46.857142857142854,1.0499999999999998
2020-49,41.142857142857146,0.0
2020-50,43.714285714285715,1.67
2020-51,36.57142857142857,0.0
2020-52,39.142857142857146,0.17
2020-53,32.5,0.71
2021-01,35.142857142857146,0.02
2021-02,36.714285714285715,0.27
2021-03,32.714285714285715,0.07
2021-04,31.0,1.18
2021-05,25.285714285714285,0.38
2021-06,14.714285714285714,0.28
2021-07,24.428571428571427,0.56
2021-08,45.142857142857146,0.03
2021-09,46.142857142857146,0.0
2021-10,60.714285714285715,0.16
2021-11,46.857142857142854,0.6599999999999999
2021-12,57.42857142857143,0.43
2021-13,58.857142857142854,0.0
2021-14,68.71428571428571,0.63
2021-15,56.857142857142854,0.0
2021-16,54.0,0.0
2021-17,73.42857142857143,0.08
2021-18,59.857142857142854,0.35
2021-19,63.57142857142857,0.01
2021-20,80.42857142857143,0.13
2021-21,70.57142857142857,1.3
2021-22,83.42857142857143,0.0
2021-23,88.85714285714286,1.51
2021-24,83.85714285714286,2.1
2021-25,77.42857142857143,2.42
2021-26,81.85714285714286,0.75
2021-27,80.28571428571429,0.2
2021-28,78.42857142857143,1.2000000000000002
2021-29,86.42857142857143,0.12
2021-30,83.85714285714286,0.38
2021-31,85.28571428571429,0.22
2021-32,84.71428571428571,1.11
2021-33,85.71428571428571,0.6
2021-34,91.14285714285714,2.58
2021-35,78.71428571428571,0.01
2021-36,82.85714285714286,0.0
2021-37,84.28571428571429,0.45
2021-38,74.0,0.77
2021-39,80.42857142857143,0.16
2021-40,73.85714285714286,0.7000000000000001
2021-41,67.28571428571429,1.29
2021-42,63.285714285714285,1.85
2021-43,56.142857142857146,1.77
2021-44,52.0,0.0
2021-45,50.714285714285715,0.53
2021-46,48.285714285714285,0.14
2021-47,42.0,0.04
2021-48,48.285714285714285,0.26
2021-49,44.42857142857143,0.84
2021-50,50.285714285714285,0.09
2021-51,44.857142857142854,0.4
2021-52,39.8,0.71
2021-53,34.333333333333336,0.41000000000000003
2022-01,27.0,0.05
2022-02,32.0,0.04
2022-03,30.0,0.26
2022-04,23.428571428571427,0.22000000000000003
2022-05,30.428571428571427,0.39999999999999997
2022-06,33.857142857142854,0.09
2022-07,38.57142857142857,1.05
2022-08,35.285714285714285,1.05
2022-09,52.857142857142854,0.13999999999999999
2022-10,36.0,0.38
2022-11,59.0,0.7
2022-12,50.285714285714285,0.85
2022-13,46.42857142857143,2.13
2022-14,52.0,1.28
2022-15,57.0,0.29000000000000004
2022-16,60.285714285714285,1.65
2022-17,55.285714285714285,1.58
2022-18,56.42857142857143,1.92
2022-19,86.28571428571429,0.0
2022-20,71.85714285714286,1.19
2022-21,72.28571428571429,0.36
2022-22,79.28571428571429,0.19999999999999998
2022-23,73.71428571428571,1.02
2022-24,88.28571428571429,1.18
2022-25,88.14285714285714,0.24
2022-26,86.14285714285714,0.02
2022-27,83.71428571428571,1.56
2022-28,79.28571428571429,0.85
2022-29,88.71428571428571,2.09
2022-30,81.42857142857143,0.0
2022-31,87.85714285714286,0.2
2022-32,79.28571428571429,0.24
2022-33,81.14285714285714,0.62
2022-34,83.71428571428571,0.73
2022-35,83.57142857142857,0.26
2022-36,79.14285714285714,1.45
2022-37,79.57142857142857,0.47
2022-38,73.71428571428571,0.28
2022-39,64.28571428571429,0.0
2022-40,68.57142857142857,0.05
2022-41,61.142857142857146,0.76
2022-42,62.285714285714285,0.0
2022-43,63.857142857142854,0.83
2022-44,67.42857142857143,0.3
2022-45,55.57142857142857,0.0
2022-46,34.42857142857143,0.29
2022-47,52.285714285714285,0.26
2022-48,45.57142857142857,0.03
2022-49,41.285714285714285,0.48000000000000004
2022-50,34.285714285714285,1.5899999999999999
2022-51,21.571428571428573,0.09
2022-52,39.125,0.27
2023-01,38.285714285714285,1.1400000000000001
2023-02,43.57142857142857,0.02
2023-03,40.714285714285715,0.69
2023-04,32.857142857142854,0.57
2023-05,26.285714285714285,0.02
2023-06,45.857142857142854,0.91
2023-07,44.857142857142854,0.65
2023-08,40.42857142857143,1.26
2023-09,49.142857142857146,1.3900000000000001
2023-10,42.857142857142854,0.77
2023-11,40.42857142857143,0.25
2023-12,49.142857142857146,1.21
2023-13,52.857142857142854,1.22
2023-14,62.42857142857143,1.17
2023-15,77.85714285714286,0.11
2023-16,56.0,0.25
2023-17,55.57142857142857,0.46
2023-18,68.28571428571429,0.13
2023-19,72.14285714285714,0.26
2023-20,73.57142857142857,0.03
2023-21,74.57142857142857,0.0
2023-22,87.71428571428571,1.17
2023-23,77.71428571428571,0.05
2023-24,75.28571428571429,0.54
2023-25,87.0,0.79
2023-26,82.28571428571429,3.92
2023-27,85.0,0.6100000000000001
2023-28,83.28571428571429,1.3399999999999999
2023-29,83.57142857142857,0.12000000000000001
2023-30,88.28571428571429,1.72
2023-31,82.71428571428571,0.13
2023-32,83.57142857142857,0.0
2023-33,81.42857142857143,1.2000000000000002
2023-34,86.28571428571429,0.0
2023-35,83.85714285714286,0.0
2023-36,81.28571428571429,0.12000000000000001
2023-37,71.57142857142857,2.4000000000000004
2023-38,77.42857142857143,0.34
2023-39,77.0,0.5
2023-40,72.85714285714286,0.32
2023-41,61.285714285714285,1.48
2023-42,62.285714285714285,0.16
2023-43,66.0,0.29000000000000004
2023-44,51.714285714285715,0.04
2023-45,56.0,0.08
2023-46,60.142857142857146,0.01
2023-47,42.0,0.76
2023-48,38.714285714285715,0.9400000000000001
2023-49,45.285714285714285,0.36
2023-50,44.142857142857146,0.41
2023-51,41.4,0.51
2023-52,45.0,0.16
