Year-Week,Positive_Pools,Total_Mosquitoes,MIR,Avg_TMAX,Total_PRCP
2011-23,0,429,0.0,78.28571428571429,1.65
2011-24,0,828,0.0,78.28571428571429,0.8400000000000001
2011-25,0,843,0.0,77.14285714285714,0.66
2011-26,0,1942,0.0,85.42857142857143,0.03
2011-28,0,4573,0.0,86.0,0.4
2011-30,11,3845,2.860858257477243,87.85714285714286,2.11
2011-31,5,1059,4.721435316336166,86.85714285714286,1.36
2011-32,11,819,13.431013431013431,79.57142857142857,1.38
2011-33,4,586,6.825938566552901,83.0,1.11
2011-34,4,485,8.247422680412372,81.57142857142857,0.65
2011-35,7,865,8.092485549132947,84.14285714285714,0.06
2011-37,8,1504,5.319148936170213,66.71428571428571,0.51
2011-38,6,724,8.287292817679557,66.57142857142857,0.46
2011-39,0,181,0.0,61.57142857142857,2.44
2012-23,0,232,0.0,82.0,0.0
2012-24,0,359,0.0,86.0,0.42
2012-25,0,601,0.0,91.0,0.01
2012-26,3,1478,2.0297699594046006,88.85714285714286,0.4599999999999999
2012-28,42,8827,4.758128469468676,90.0,0.28
2012-29,74,6000,12.333333333333334,90.0,1.65
2012-30,112,4948,22.63540824575586,88.85714285714286,1.29
2012-31,99,4508,21.960958296362023,90.28571428571428,0.53
2012-32,33,1871,17.637626937466592,80.85714285714286,0.2299999999999999
2012-33,34,1914,17.763845350052247,78.0,0.79
2012-34,12,1012,11.857707509881422,85.14285714285714,0.6799999999999999
2012-35,4,887,4.509582863585118,85.28571428571429,0.0
2012-37,14,1980,7.070707070707071,78.14285714285714,0.19
2012-38,1,285,3.5087719298245617,66.57142857142857,0.43
2012-39,1,564,1.7730496453900708,70.28571428571429,0.0
2013-23,0,357,0.0,71.28571428571429,0.17
2013-24,0,1658,0.0,80.28571428571429,1.18
2013-25,0,1318,0.0,81.28571428571429,1.7000000000000002
2013-26,1,1354,0.7385524372230429,82.28571428571429,2.61
2013-28,7,6614,1.058361052313275,84.57142857142857,0.5
2013-29,15,4097,3.66121552355382,91.85714285714286,0.7399999999999999
2013-30,2,1951,1.025115325474116,74.57142857142857,0.42
2013-31,22,2856,7.703081232492997,78.0,1.17
2013-32,34,3136,10.841836734693878,81.28571428571429,0.12
2013-33,20,1940,10.309278350515465,77.57142857142857,0.27
2013-34,30,2046,14.66275659824047,85.42857142857143,0.24
2013-35,38,2627,14.46516939474686,88.42857142857143,0.5700000000000001
2013-36,32,2472,12.944983818770227,80.71428571428571,0.01
2013-37,23,2208,10.416666666666666,80.42857142857143,0.65
2013-38,11,1019,10.794896957801766,72.85714285714286,1.39
2013-39,4,501,7.984031936127744,73.57142857142857,0.38
2014-23,0,1692,0.0,78.14285714285714,0.64
2014-24,0,1889,0.0,75.42857142857143,1.78
2014-25,2,2420,0.8264462809917356,84.42857142857143,2.26
2014-26,1,1376,0.7267441860465116,83.71428571428571,0.53
2014-27,0,1695,0.0,79.42857142857143,2.79
2014-28,2,2683,0.7454342154304883,82.0,1.66
2014-29,1,1136,0.8802816901408451,77.28571428571429,0.25
2014-30,1,528,1.893939393939394,81.71428571428571,0.03
2014-31,16,3667,4.36323970548132,82.14285714285714,0.16
2014-32,15,3907,3.839262861530586,81.57142857142857,2.76
2014-33,32,3960,8.080808080808081,76.71428571428571,0.92
2014-34,36,4400,8.181818181818182,84.85714285714286,2.99
2014-35,41,3201,12.808497344579818,83.71428571428571,0.48
2014-36,36,2124,16.949152542372882,82.28571428571429,1.13
2014-37,8,915,8.743169398907105,67.28571428571429,1.4500000000000002
2014-38,12,708,16.949152542372882,70.57142857142857,0.12
2014-39,7,600,11.666666666666668,75.42857142857143,0.0
2014-40,0,322,0.0,64.28571428571429,1.08
2015-23,0,271,0.0,72.85714285714286,0.36
2015-24,0,663,0.0,81.28571428571429,1.44
2015-25,0,1017,0.0,76.0,3.28
2015-26,0,574,0.0,77.85714285714286,1.25
2015-27,1,917,1.0905125408942202,75.85714285714286,0.79
2015-28,0,1339,0.0,77.71428571428571,0.86
2015-29,2,1374,1.455604075691412,83.57142857142857,1.99
2015-30,7,1400,5.0,84.28571428571429,0.0
2015-31,8,1950,4.102564102564102,88.57142857142857,0.53
2015-32,13,1461,8.89801505817933,82.0,0.0
2015-33,16,1386,11.544011544011545,86.14285714285714,0.37
2015-34,20,1027,19.474196689386563,80.0,0.52
2015-35,20,1326,15.082956259426847,72.71428571428571,0.74
2015-36,12,814,14.742014742014742,88.28571428571429,0.0
2015-37,6,363,16.528925619834713,74.57142857142857,1.42
2015-38,4,576,6.944444444444444,78.57142857142857,2.82
2015-39,1,263,3.802281368821293,76.0,0.0
2015-40,3,169,17.75147928994083,62.285714285714285,0.41
2016-23,0,138,0.0,78.71428571428571,0.62
2016-24,0,1121,0.0,85.85714285714286,0.6399999999999999
2016-25,0,2268,0.0,84.57142857142857,2.68
2016-26,1,1013,0.9871668311944718,77.85714285714286,0.0
2016-27,9,1487,6.05245460659045,83.57142857142857,3.84
2016-28,5,868,5.760368663594471,83.57142857142857,0.9
2016-29,15,1466,10.231923601637108,90.28571428571428,6.18
2016-30,86,5629,15.278024515899803,84.28571428571429,1.54
2016-31,82,3492,23.482245131729663,86.42857142857143,0.04
2016-32,83,3670,22.615803814713896,86.71428571428571,1.92
2016-33,70,3655,19.15184678522572,82.71428571428571,2.72
2016-34,25,1308,19.1131498470948,82.28571428571429,2.6
2016-35,29,2120,13.679245283018869,78.42857142857143,1.24
2016-36,37,3504,10.559360730593609,82.71428571428571,0.9
2016-37,11,1634,6.731946144430845,80.28571428571429,0.2799999999999999
2016-38,3,2022,1.483679525222552,79.71428571428571,1.12
2016-39,3,800,3.75,65.28571428571429,3.16
2018-23,2,1120,1.7857142857142856,76.85714285714286,2.76
2018-24,1,1344,0.744047619047619,83.71428571428571,0.75
2018-25,3,1359,2.207505518763797,77.85714285714286,3.02
2018-26,8,2137,3.743565746373421,87.71428571428571,1.03
2018-27,3,750,4.0,86.28571428571429,0.03
2018-28,13,1333,9.752438109527382,88.57142857142857,0.26
2018-29,17,1244,13.665594855305466,82.0,0.51
2018-30,31,1263,24.54473475851148,83.57142857142857,0.1
2018-31,27,1401,19.271948608137045,87.42857142857143,0.0
2018-32,31,1548,20.02583979328165,85.14285714285714,3.13
2018-33,42,1516,27.704485488126647,85.42857142857143,0.62
2018-34,18,458,39.30131004366813,81.0,1.05
2018-35,7,465,15.053763440860216,85.0,1.99
2018-36,3,535,5.607476635514018,78.0,2.86
2018-37,1,331,3.0211480362537766,81.57142857142857,0.0
2018-38,4,736,5.434782608695652,79.0,0.21
2018-39,0,377,0.0,68.28571428571429,0.4
2019-24,0,3798,0.0,72.14285714285714,0.94
2019-25,0,1541,0.0,74.28571428571429,0.8400000000000001
2019-26,0,1510,0.0,87.0,0.6900000000000001
2019-27,1,612,1.6339869281045751,87.0,0.8899999999999999
2019-28,0,1370,0.0,88.42857142857143,0.01
2019-29,1,776,1.288659793814433,88.57142857142857,2.72
2019-30,0,869,0.0,83.42857142857143,0.0
2019-31,5,965,5.181347150259067,82.42857142857143,0.32
2019-32,7,1215,5.761316872427984,85.85714285714286,0.02
2019-33,20,2031,9.847365829640571,82.14285714285714,1.73
2019-34,31,2279,13.602457218078104,78.14285714285714,0.37
2019-35,32,1573,20.3432930705658,76.57142857142857,1.85
2019-36,15,854,17.564402810304447,74.42857142857143,0.25
2019-37,28,2541,11.019283746556477,81.14285714285714,2.33
2019-38,5,1326,3.770739064856712,79.42857142857143,1.65
2019-39,5,1166,4.288164665523157,72.14285714285714,3.04
2020-24,0,831,0.0,79.42857142857143,0.56
2020-25,0,863,0.0,86.28571428571429,0.19
2020-26,0,682,0.0,83.85714285714286,3.14
2020-27,0,891,0.0,91.14285714285714,0.3
2020-28,0,250,0.0,89.57142857142857,1.15
2020-29,3,3008,0.9973404255319148,86.85714285714286,0.64
2020-30,2,1275,1.568627450980392,88.0,0.09
2020-31,13,2460,5.284552845528455,85.42857142857143,0.72
2020-32,6,1069,5.612722170252572,82.28571428571429,0.06
2020-33,18,2258,7.971656333038087,88.0,0.6599999999999999
2020-34,21,1968,10.670731707317074,86.14285714285714,0.0
2020-35,21,2559,8.206330597889801,90.42857142857144,0.03
2020-36,13,1359,9.565857247976457,83.0,0.84
2020-37,0,185,0.0,70.71428571428571,1.94
2020-38,5,467,10.70663811563169,72.85714285714286,0.0
2020-39,0,361,0.0,78.28571428571429,0.19
2020-40,0,139,0.0,59.57142857142857,0.53
2021-22,0,39,0.0,83.42857142857143,0.0
2021-23,0,1701,0.0,88.85714285714286,1.51
2021-24,0,1520,0.0,83.85714285714286,2.1
2021-25,0,224,0.0,77.42857142857143,2.42
2021-26,0,442,0.0,81.85714285714286,0.75
2021-27,4,2431,1.6454134101192923,80.28571428571429,0.2
2021-28,4,3478,1.1500862564692351,78.42857142857143,1.2000000000000002
2021-29,8,2860,2.797202797202797,86.42857142857143,0.12
2021-30,11,1952,5.635245901639345,83.85714285714286,0.38
2021-31,22,2712,8.112094395280236,85.28571428571429,0.22
2021-32,43,3021,14.233697451175107,84.71428571428571,1.11
2021-33,42,2653,15.8311345646438,85.71428571428571,0.6
2021-34,24,1216,19.73684210526316,91.14285714285714,2.58
2021-35,8,790,10.126582278481012,78.71428571428571,0.01
2021-36,1,181,5.524861878453039,82.85714285714286,0.0
2021-37,12,1561,7.687379884689302,84.28571428571429,0.45
2021-38,4,1087,3.679852805887765,74.0,0.77
2021-39,3,755,3.9735099337748334,80.42857142857143,0.16
2022-23,0,393,0.0,73.71428571428571,1.02
2022-24,1,2274,0.4397537379067722,88.28571428571429,1.18
2022-25,0,367,0.0,88.14285714285714,0.24
2022-26,1,376,2.6595744680851063,86.14285714285714,0.02
2022-27,1,105,9.523809523809526,83.71428571428571,1.56
2022-28,2,463,4.319654427645789,79.28571428571429,0.85
2022-29,2,544,3.676470588235294,88.71428571428571,2.09
2022-30,1,402,2.487562189054726,81.42857142857143,0.0
2022-31,14,1384,10.115606936416183,87.85714285714286,0.2
2022-32,17,755,22.516556291390728,79.28571428571429,0.24
2022-33,9,820,10.97560975609756,81.14285714285714,0.62
2022-34,8,741,10.79622132253711,83.71428571428571,0.73
2022-35,14,951,14.721345951629864,83.57142857142857,0.26
2022-36,9,986,9.127789046653144,79.14285714285714,1.45
2022-37,1,361,2.770083102493075,79.57142857142857,0.47
2022-38,0,271,0.0,73.71428571428571,0.28
2022-39,0,39,0.0,64.28571428571429,0.0
2022-40,0,127,0.0,68.57142857142857,0.05
2023-23,1,300,3.333333333333333,77.71428571428571,0.05
2023-24,2,1040,1.9230769230769231,75.28571428571429,0.54
2023-25,0,533,0.0,87.0,0.79
2023-26,0,958,0.0,82.28571428571429,3.92
2023-27,5,1159,4.3140638481449525,85.0,0.6100000000000001
2023-28,8,1124,7.117437722419928,83.28571428571429,1.34
2023-29,14,2262,6.18921308576481,83.57142857142857,0.12
2023-30,27,2882,9.368494101318529,88.28571428571429,1.72
2023-31,24,1451,16.540317022742936,82.71428571428571,0.13
2023-32,58,3377,17.175007403020434,83.57142857142857,0.0
2023-33,21,848,24.764150943396228,81.42857142857143,1.2000000000000002
2023-34,31,1759,17.62364980102331,86.28571428571429,0.0
2023-35,22,1246,17.656500802568218,83.85714285714286,0.0
2023-36,21,1118,18.783542039355996,81.28571428571429,0.12
2023-37,9,903,9.966777408637872,71.57142857142857,2.4000000000000004
2023-38,4,1007,3.972194637537239,77.42857142857143,0.34
2023-39,2,520,3.8461538461538463,77.0,0.5
